Times University;Top University
University of Oxford;University of Oxford
California Institute of Technology caltech;California Institute of Technology (Caltech)
Massachusetts Institute of Technology;Massachusetts Institute of Technology (MIT)
Princeton University;Princeton University
University of Chicago;University of Chicago
ETH Zurich – Swiss Federal Institute of Technology Zurich;ETH Zurich - Swiss Federal Institute of Technology
University of Pennsylvania;University of Pennsylvania
Johns Hopkins University;Johns Hopkins University
University of California, Los Angeles;University of California, Los Angeles (UCLA)
University College London ucl;UCL (University College London)
University of California, Berkeley;University of California, Berkeley (UCB)
Northwestern University;Northwestern University
National University of Singapore nus;National University of Singapore (NUS)
Carnegie Mellon University;Carnegie Mellon University
California Institute of Technology caltech;California Institute of Technology (Caltech)
University of Washington;University of Washington
New York University;New York University (NYU)
Tsinghua University Qinghua University Tsing hua University Qing hua University;Tsinghua University
University of California, San Diego;University of California, San Diego (UCSD)
Georgia Institute of Technology;Georgia Institute of Technology
LMU Munich Ludwig-Maximilians-Universität München;X
King’s College London;King's College London
École Polytechnique Fédérale de Lausanne;Ecole Polytechnique Fédérale de Lausanne (EPFL)
University of Hong Kong HKU hku The University of Hong Kong;The University of Hong Kong
Technical University of Munich;Technical University of Munich
University of Wisconsin-Madison;University of Wisconsin-Madison
Hong Kong University of Science and Technology hkust Hong Kong University of Science and Technology;The Hong Kong University of Science and Technology
Heidelberg University;Ruprecht-Karls-Universität Heidelberg
Australian National University anu;The Australian National University
Brown University;Brown University
Nanyang Technological University, Singapore  NTU Nan yang;Nanyang Technological University, Singapore (NTU)
University of California, Santa Barbara;University of California, Santa Barbara (UCSB)
University of California, Davis;University of California, Davis
University of Minnesota;University of Minnesota
University of North Carolina at Chapel Hill;University of North Carolina, Chapel Hill
Chinese University of Hong Kong;The Chinese University of Hong Kong (CUHK)
Purdue University;Purdue University
Humboldt University of Berlin;Humboldt-Universität zu Berlin
Wageningen University & Research;Wageningen University
University of Southern California;University of Southern California
Utrecht University utrecht  utrecht university;Utrecht University
University of Maryland, College Park;University of Maryland, College Park
